Sr. No.,State/UT,Number of Invoice/Sales
1,Jammu Kashmir,437
2,Himachal Pradesh,241
3,Punjab,764
4,Chandigarh,48
5,Uttarakhand,1057
6,Haryana,1477
7,Delhi,6413
8,Rajasthan,6721
9,Uttar Pradesh,6022
10,Bihar,2615
11,Sikkim,0
12,Arunachal Pradesh,0
13,Nagaland,0
14,Manipur,78
15,Mizoram,0
16,Tripura,538
17,Meghalaya,6
18,Assam,407
19,West Bengal,771
20,Jharkhand,817
21,Odisha,1671
22,Chhattisgarh,2055
23,Madhya Pradesh,2953
24,Gujarat,1554
25,Maharashtra,9393
26,Andhra Pradesh,3325
27,Karnataka,19270
28,Goa,241
29,Lakshadweep,4
30,Kerala,2068
31,Tamilnadu,13515
32,Puducherry,138
33,Andaman and Nicobar Islands,2
34,Telangana,3031
35,Ladakh,0
36,The Dadra and Nagar Haveli and Daman and Diu,27
